"","ProjectName","round_id","ModelScore","DonorCount","ScorePerDonor"
"84","ISEIKAI",12,50.9444444444444,171,0.297920727745289
"85","Resource X",11,18.2777777777778,62,0.294802867383513
"86","AnyaStudios",12,6.44444444444444,22,0.292929292929293
"87","| THU | FUONG | 🔴💨",12,58.4444444444444,201,0.290768380320619
"88","De~Dentist",12,64.8888888888889,224,0.28968253968254
"89","April Zoe’s GameFi Adventure",12,5.5,19,0.289473684210526
"90","Yurie's Web3",12,3.16666666666667,11,0.287878787878788
"91","SEI WARRIORS",12,54.1111111111111,188,0.287825059101655
"92","Hermes ",12,8.61111111111111,30,0.287037037037037
"93","RAGER - ESPARTANS",11,5.44444444444444,19,0.286549707602339
"94","Femifeks",12,43.1111111111111,151,0.285504047093451
"95","Onchain data for Sei Games",12,5.66666666666667,20,0.283333333333333
"96","SKY_GAM3S X SEI GAMING",12,9.83333333333333,35,0.280952380952381
"97","Dreyshq",12,8.94444444444444,32,0.279513888888889
"98","billylwy22",12,9.5,34,0.279411764705882
"99","SavageStudios",12,3.61111111111111,13,0.277777777777778
"100","Tom",12,11.5555555555556,42,0.275132275132275
"101","SeiDash",11,49.5,180,0.275
"102","Wayfinders",12,5.5,20,0.275
"103","Creative El",12,4.94444444444444,18,0.274691358024691
"104","TR0Y",12,11.7777777777778,43,0.27390180878553
"105","Satoci",11,41.3333333333333,151,0.273730684326711
"106","LillyCreator",12,9,33,0.272727272727273
"107","Code Node",11,18.1666666666667,67,0.271144278606965
"108","Sei Zero Knowledge/NFT academy",11,4.55555555555556,17,0.26797385620915
"109","Continental's Game Reviews",12,12.0555555555556,45,0.267901234567901
"110","Wheezzy Legend ",12,18.1111111111111,68,0.266339869281046
"111","Seile",11,34.2777777777778,129,0.265719207579673
"112","joxiecoxie gaming hour",12,7.88888888888889,30,0.262962962962963
"113","Mana Gaming",12,12.5555555555556,48,0.261574074074074
"114","Akash Talks Crypto",12,14.5555555555556,56,0.259920634920635
"115","codesei",11,20,77,0.25974025974026
"116","kc.fun",12,27.6111111111111,108,0.255658436213992
"117","Youngsugarcoat",12,4.33333333333333,17,0.254901960784314
"118","Dynamo",12,3.05555555555556,12,0.25462962962963
"119","TungLava",12,15.5,61,0.254098360655738
"120","DEVELOPER'S GUILD VIDEOS",11,12.4444444444444,49,0.253968253968254
"121","0xbigd",12,12.6666666666667,50,0.253333333333333
"122","Mayortheidol ",12,39.8888888888889,158,0.252461322081575
"123","David🔺🔴",12,9.5,38,0.25
"124","TechJohn ",12,2.5,10,0.25
"125","nbdieu - Sei Network Community Builder",12,41.3888888888889,166,0.249330655957162
"126","Echo",11,8.72222222222222,35,0.249206349206349
"127","NOTYOURMATEK WRITES ",12,4.22222222222222,17,0.248366013071895
"128","Mubarak",12,4.38888888888889,18,0.243827160493827
"129","Kobe's Sei Journey",12,6.05555555555556,25,0.242222222222222
"130","Explained",11,5.55555555555556,23,0.241545893719807
"131","Sei Learn",11,11.2222222222222,47,0.238770685579196
"132","JENGA DAO",11,7.83333333333333,33,0.237373737373737
"133","Slayer",12,7.83333333333333,33,0.237373737373737
"134","sheggzie",11,7.11111111111111,30,0.237037037037037
"135","Digital Redcap Chief",12,4.94444444444444,21,0.235449735449735
"136","The Rejects' Clubhouse",12,5.16666666666667,22,0.234848484848485
"137","Getsuga",11,20.5555555555556,88,0.233585858585859
"138","Creative Owls",12,11.4444444444444,49,0.233560090702948
"139","Learn SEI with developers",11,10.4444444444444,45,0.232098765432099
"140","Fernando",12,3.94444444444444,17,0.23202614379085
"141","Mertenszn",12,4.16666666666667,18,0.231481481481482
"142","Seistart V2",11,6.94444444444444,30,0.231481481481481
"143","KRYPTOHUNTA'S HUB",12,24.3888888888889,106,0.230083857442348
"144","Rex ",12,13.3333333333333,58,0.229885057471264
"145","Game on sei",12,7.11111111111111,31,0.229390681003584
"146","DoubleJay",12,15.5555555555556,68,0.228758169934641
"147","CaBsCrypto x SEI ",12,12.7777777777778,56,0.228174603174603
"148","Makusui´s Sei Game Journey",12,4.55555555555556,20,0.227777777777778
"149","Wacko",12,5,22,0.227272727272727
"150","SEIVerse",12,14.5,64,0.2265625
"151","LEVI OF WEB 3",12,27.3888888888889,121,0.226354453627181
"152","IRA gaming videos ",12,30.3888888888889,135,0.225102880658436
"153","DEXTERS GAMING HUB",12,20.4444444444444,91,0.224664224664225
"154","Education in web3 with Rain",12,7.61111111111111,34,0.223856209150327
"155","daevoohpy",11,9.61111111111111,43,0.223514211886305
"156","Heroe",12,13.8333333333333,62,0.223118279569892
"157","Luna",12,5.88888888888889,27,0.218106995884774
"158","Founders Talk on SEI",12,18.6666666666667,87,0.21455938697318
"159","Pdthang810",12,18.3888888888889,86,0.213824289405685
"160","The Consortium",11,37.6111111111111,176,0.213699494949495
"161","Chandon - Kids Gaming on SEI",12,18.8888888888889,89,0.212234706616729
"162","Sei Gaming Letter ",12,22.8888888888889,108,0.211934156378601
"163","Sei Protector",11,10.9444444444444,52,0.210470085470085
"164","N1ghtStar",12,38.3888888888889,183,0.209775349119611
"165","IREOLAAA",12,7.72222222222222,37,0.208708708708709
"166","donutgrillfish's video marathon for SEI",12,3.11111111111111,15,0.207407407407407
"167","Raphael",12,15.2777777777778,74,0.206456456456456
"168","Djani",12,5.77777777777778,28,0.206349206349206
"169","Trophy david ",12,2.88888888888889,14,0.206349206349206
"170","Seifarmers",12,25.5,124,0.205645161290323
"171","Moneyshot",12,12.8333333333333,63,0.203703703703704
"172","0xlolu",11,4.66666666666667,23,0.202898550724638
"173","PurgatoryDAO",12,24.6666666666667,122,0.202185792349727
"174","Dashke SEI Show",12,14.5,72,0.201388888888889
"175","Lord",12,11.4444444444444,57,0.200779727095517
"176","Shockermandan Games the System",12,51.9444444444444,259,0.200557700557701
"177","MhiztaLOEL",12,16.8333333333333,84,0.200396825396825
"178","Viento",12,27.6111111111111,139,0.198641087130296
"179","Hanzoplays",12,27.7777777777778,140,0.198412698412698
"180","Chain link",11,7.72222222222222,39,0.198005698005698
"181","Rock of god",12,25.5,129,0.197674418604651
"182","degenOn.sei",12,6.11111111111111,31,0.197132616487455
"183","Enissay's application",12,4.72222222222222,24,0.196759259259259
"184","Kyle Willson",12,5.66666666666667,29,0.195402298850575
"185","Vishnu the Greatest",11,8.16666666666667,42,0.194444444444444
"186","Ifezko",12,10.2777777777778,53,0.193920335429769
