"","DonorAddress","model_score","model_score_count"
"74","0x93e844b8543dbceee587e15b8215358a8cee4f0c",0.833333333333333,5
"75","0x9736c856ce3e2d279498e48dc3cdd0f7c4347efb",0.611111111111111,4
"76","0x9a69763c1a0a8eb7918aba64ac7bb90add457c39",0.611111111111111,4
"77","0xa0c810f7d1ba0b021ad9fb9ac6cef08d46eda736",0.611111111111111,4
"79","0xb10967ea85ecebb79c0e151c35622941f8c642e1",0.833333333333333,5
"80","0xbaa15a433f518474e5d842662e68cb635491624b",0.722222222222222,4
"81","0xc9928a9c12c930bbe60cca7e0d1d12a5a6cf6f2a",0.833333333333333,5
"82","0xdc440051f27c3eb9f8fb6af58dd8e17a04a247f2",0.555555555555556,3
"83","0xe345e4172ee1c0898a60d03a3632ab0b5c01e6c6",0.611111111111111,4
"84","0xf06bb554a6d1ac750795ba8b9f8a41d2fc04a815",0.555555555555556,4
"85","0xf4adf6cc0384f7a6da7eacead9a8133d4d8c77af",0.833333333333333,5
"86","0xf4dc52efa507b8c43e18b8f471633e0332f8c616",0.611111111111111,4
"87","0x0faa77fb2c336068a88e65ec9d89365285606933",0.611111111111111,3
"88","0x67696655e42c3dfe56b884fed2415539a1f67ebd",0.555555555555556,3
"89","0x6b6dd44867fd0901901e18aa86d34dab3b807caf",0.555555555555556,3
"90","0xdc61fce75352b6c3f7766a41cadbbff8bff1f07c",0.555555555555556,3
"91","0xf8deb81194e3e1b216b6adcf348cd752e9f2ef33",0.555555555555556,3
"92","0x036cadeec8874fa802402383d053941bfe94ead1",0.611111111111111,4
"93","0x09e34ffe5b1a9cde769a28744f43c1cdcce40407",0.722222222222222,4
"94","0x12cfdf5fa3025fd7b803697d6c95f4ec84a66663",0.722222222222222,4
"95","0x17d6a8f1fe69a0013d5c666c290b99b12702f171",0.722222222222222,4
"96","0x2e7fa6ed34972b42c01bafe5699d58d9918ba479",0.722222222222222,4
"97","0x3551f233507469e8f987b21282e09eae89851561",0.722222222222222,4
"98","0x470f559beb3b34bc2eda4cf7202c0fa233bf392e",0.833333333333333,5
"99","0x487ec5b121a329a86c734137fd5763a1fce7ea2e",0.722222222222222,4
"101","0x8344b9708edf3ec65613f54f62db6f803103c188",0.722222222222222,4
